City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Edgewater,US,68.02,clear sky,28.9889,-80.9023,Islander Beach Resort
486,Doka,SD,75.69,scattered clouds,13.5167,35.7667,منصور عثمان
487,Kirakira,SB,83.01,overcast clouds,-10.4544,161.9205,SanBiz Lodge
489,Nabire,ID,80.92,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
491,Esmeraldas,BR,69.19,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada
496,Alexandria,EG,72.09,broken clouds,31.2156,29.9553,فندق قاعود
498,Mlonggo,ID,79.93,heavy intensity rain,-6.5333,110.7,Asia Metal Art
501,Santa Cruz De La Palma,ES,72.14,clear sky,28.6835,-17.7642,H10 Taburiente Playa
502,Chanute,US,78.91,clear sky,37.6792,-95.4572,Guest House Motel Chanute
504,Cururupu,BR,75.99,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
505,Mpanda,TZ,70.2,broken clouds,-6.3655,31.0409,CH Hotel - Mpanda
507,Katobu,ID,84.31,overcast clouds,-4.9408,122.5276,La Ode Husein
511,Japaratuba,BR,71.58,few clouds,-10.5933,-36.9403,Pousada Japaratuba
513,Wichita Falls,US,86.14,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
514,Liberal,US,76.24,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
516,Maputo,MZ,71.28,few clouds,-25.9653,32.5892,Pestana Rovuma
517,Nouadhibou,MR,67.98,few clouds,20.931,-17.0347,El Medina
521,Amahai,ID,84.38,broken clouds,-3.3333,128.9167,HOTEL ISABELA
522,Grand Gaube,MU,71.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
525,Santa Barbara,US,70.34,clear sky,34.7333,-120.0343,Upper Ballard Campground
527,Sinnamary,GF,79.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
531,Teknaf,BD,76.62,overcast clouds,20.8624,92.3058,Forestry Guesthouse
532,Kaliua,TZ,78.78,overcast clouds,-5.0606,31.7936,Millennium Complex
537,Griffith,US,70.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
539,Axim,GH,76.57,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
543,Urucui,BR,88.41,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
544,San Policarpo,PH,82.45,overcast clouds,12.1791,125.5072,Agapita M. Nicart
546,Guapiacu,BR,72.95,overcast clouds,-20.795,-49.2203,Chacara Rosa De Saron
549,High Rock,BS,76.17,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
550,Hirara,JP,82.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
553,Bosaso,SO,79.7,few clouds,11.2842,49.1816,Red Sea Hotel
555,Coronado,US,78.58,broken clouds,32.6859,-117.1831,Hilton San Diego Bayfront
556,Porbandar,IN,79.39,clear sky,21.6422,69.6093,Lords Inn Porbandar
559,Koutiala,ML,81.93,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
565,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
568,Vanimo,PG,78.01,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
570,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
572,Port-Gentil,GA,78.33,light rain,-0.7193,8.7815,Fengshui Residence
575,Jodiya,IN,80.73,clear sky,22.6925,70.306,Bahucharaji Hotel
578,Stephenville,US,81.39,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
583,Ikom,NG,73.22,broken clouds,5.9667,8.7063,Ebenezer Beim excellence hotel
585,Sao Miguel Do Araguaia,BR,78.3,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
586,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
587,Marsh Harbour,BS,76.98,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
588,Manzanillo,CU,75.4,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
589,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
591,Nosy Varika,MG,67.75,overcast clouds,-20.5833,48.5333,Hotel Volazara
593,Gambela,ET,67.86,light rain,8.25,34.5833,Solomon Debebe Hotel
594,Quatre Cocos,MU,71.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
595,Hambantota,LK,73.74,overcast clouds,6.1241,81.1185,Bungalow 63
596,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
602,Jizan,SA,85.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
608,Luanda,AO,74.97,light rain,-8.8368,13.2343,EPIC SANA Luanda
611,Una,IN,76.41,clear sky,20.8167,71.0333,Hotel Harbhole
615,Moree,AU,69.17,overcast clouds,-29.4667,149.85,Molika Springs Motel
617,Tual,ID,83.41,clear sky,-5.6667,132.75,Grand Vilia Hotel
619,Doha,QA,84.18,clear sky,25.2867,51.5333,Mövenpick Doha
625,Bambanglipuro,ID,79.29,overcast clouds,-7.95,110.2833,Puri Brata
627,Bandarbeyla,SO,76.98,few clouds,9.4942,50.8122,JABIR HOTEL
628,Sairang,IN,72.57,clear sky,23.8,92.6667,Remmie
630,Kokopo,PG,85.33,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
631,Libertador General San Martin,AR,71.29,clear sky,-23.8064,-64.7876,Posada del Sol
636,Puerto Madero,MX,82.6,light rain,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
637,Formosa,AR,71.58,clear sky,-26.1775,-58.1781,Asterión Departamentos
640,Port Augusta,AU,72.19,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
641,Luzhou,CN,72.57,overcast clouds,28.8724,105.4405,Shijichun Hotel
642,Dayong,CN,73.67,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
643,Iberia,US,71.1,clear sky,29.9502,-91.7507,back to back rv park
645,Namatanai,PG,83.14,light rain,-3.6667,152.4333,Seagulls Inn Namatani
647,Basco,PH,82.09,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
649,Catuday,PH,80.4,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
652,Meadow Lake,US,71.15,clear sky,34.8014,-106.5436,TumbleWeed RV Park
654,Alcudia,ES,71.38,overcast clouds,39.8532,3.1214,Zafiro Tropic
655,Sorong,ID,82.72,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
657,Vila Velha,BR,75.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
660,Ifo,NG,75.33,clear sky,6.8144,3.1958,Peace Land Hotel
662,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
664,Villa Sandino,NI,72.28,overcast clouds,12.0483,-84.9936,Salón Rossmary
